,Original Query,Intermediate Query hi,Back Translated Query,Intent
845,i need the cooking length for a turkey,मुझे टर्की के लिए खाना पकाने की लंबाई की आवश्यकता है,I need the cooking length for a turkey,cook_time
846,how long do noodles need to cook,नूडल्स को पकाने में कितना समय लगता है,how long does it take to cook the noodles,cook_time
847,what is the duration of time cookies should be in the oven,कुकीज़ को ओवन में कितने समय तक रखना चाहिए,How long should cookies be kept in the oven,cook_time
848,how long to i bake the brownies,मुझे ब्राउनी को कितनी देर तक पकाना है,How long do I need to cook the brownies,cook_time
849,how long do i need to make lasagne,मुझे लज़ान्या बनाने में कितना समय लगेगा,How long will it take me to make lasagna,cook_time
850,which song is playing now,अभी कौन सा गाना बज रहा है,what song is playing right now,what_song
851,what is this song,यह गाना कौन सा है,which song is this,what_song
852,what's this song called,इस गाने का नाम क्या है,what is the name of this song,what_song
853,help me to know what song is playing,मुझे यह जानने में मदद करें कि कौन सा गाना बज रहा है,Help me find out what song is playing,what_song
854,what is the title of this tune,इस धुन का शीर्षक क्या है,what is the title of this tune,what_song
855,can you tell me what this song is,क्या तुम मुझे बता सकते हो की यह गाना कौन सा है,Can you tell me what this song is,what_song
856,who is this song that's on the stereo,स्टीरियो पर जो गाना बज रहा है वो किसका है,whose song is that playing on the stereo,what_song
857,what is playing,क्या चल रहा है,What's going on,what_song
858,what's the name of this tune,इस धुन का नाम क्या है,what is the name of this tune,what_song
859,what's the name of this song i'm listening to,मैं जो गाना सुन रहा हूँ उसका नाम क्या है,what is the name of the song i am listening to,what_song
860,what band is this,यह कौन सा बैंड है,which band is this,what_song
861,what is that song that's playing,वह कौन सा गाना बज रहा है,what song is that playing,what_song
862,what's the artist's name of this song,इस गाने के कलाकार का नाम क्या है,what is the name of the artist of this song,what_song
863,what is the song that's playing,कौन सा गाना बज रहा है,what song is playing,what_song
864,what is the song that is currently playing,अभी कौन सा गाना चल रहा है,what song is playing right now,what_song
865,what's the current song that we are listening at this time,इस समय हम कौन सा गाना सुन रहे हैं,what song are we listening to right now,what_song
866,what's the song currently playing,अभी कौन सा गाना चल रहा है,what song is playing right now,what_song
867,whats the title of this song,इस गाने का शीर्षक क्या है,what is the title of this song,what_song
868,what's the name of what's playing on my speakers,मेरे स्पीकर पर जो बज रहा है उसका नाम क्या है,what is the name of that sound on my speaker,what_song
869,i'd like to know this song's name,मैं इस गाने का नाम जानना चाहता हूँ,I want to know the name of this song,what_song
870,what music is playing on the the bluetooth now,ब्लूटूथ पर अब कौन सा संगीत चल रहा है,what music is playing on bluetooth now,what_song
871,i am needing to know what song is playing,मुझे जानना है कि कौन सा गाना बज रहा है,I want to know what song is playing,what_song
872,whats the name of the playing song,बज रहे गाने का नाम क्या है,what is the name of the song playing,what_song
873,can you look up the name of this song,क्या आप इस गाने का नाम देख सकते हैं,can you see the name of this song,what_song
874,which song is playing,कौन सा गाना बज रहा है,what song is playing,what_song
875,tell me the name of the song that is playing,मुझे उस गाने का नाम बताओ जो बज रहा है,tell me the name of the song that's playing,what_song
876,tell me the title of this song,मुझे इस गाने का शीर्षक बताओ,tell me the title of this song,what_song
877,do you know the name of this song,क्या आप इस गाने का नाम जानते हैं,do you know the name of this song,what_song
878,what is the current song,वर्तमान गाना कौन सा है,what is the current song,what_song
879,can you tell me the name of this song,क्या आप मुझे इस गाने का नाम बता सकते हैं,can you tell me the name of this song,what_song
880,what's song am i hearing,मैं कौन सा गाना सुन रहा हूँ,what song am i listening to,what_song
881,what's the now playing song that we are listening to,अभी हम कौन सा गाना सुन रहे हैं,what song are we listening to right now,what_song
882,do you know what this song is,क्या आप जानते हैं यह गाना कौन सा है,do you know which song is this,what_song
883,what am i hearing on the speakers now,अब मैं स्पीकर पर क्या सुन रहा हूँ,What am I listening to on the speaker now?,what_song
884,i need to know this song's name,मुझे इस गाने का नाम जानना है,I want to know the name of this song,what_song
885,can you tell me this song,क्या आप मुझे यह गाना बता सकते हैं,can you tell me this song,what_song
886,can you tell me the mane of the song playing,क्या आप मुझे बता सकते हैं कि कौन सा गाना बज रहा है,can you tell me what song is playing,what_song
887,what is the track title of the song playing,बज रहे गाने का ट्रैक शीर्षक क्या है,What is the track title of the song playing,what_song
888,who sings this song,यह गाना कौन गाता है,who sings this song,what_song
889,whats the title of this,इसका शीर्षक क्या है,what is the title of this,what_song
890,what's the name of the current song,वर्तमान गीत का नाम क्या है,what is the name of the current song,what_song
891,i'd like to know what this song is,मैं जानना चाहता हूँ कि यह गाना कौन सा है,I want to know what song is this,what_song
892,tell me this song's name,मुझे इस गाने का नाम बताओ,tell me the name of this song,what_song
893,tell me the song that's playing right now,मुझे बताओ अभी कौन सा गाना बज रहा है,tell me what song is playing right now,what_song
894,who plays this song,यह गाना कौन बजाता है,who plays this song,what_song
895,can you tell me the song we are listening to,क्या आप मुझे वह गाना बता सकते हैं जो हम सुन रहे हैं,can you tell me the song we are listening to,what_song
896,what's this song,यह गाना कौन सा है,which song is this,what_song
897,whats the name of this song,इस गीत का क्या नाम है,what is the name of this song,what_song
898,who sang this song,यह गाना किसने गाया,who sang this song,what_song
899,tell me what song this is,बताओ ये कौन सा गाना है,tell me which song is this,what_song
900,how do i go about applying for a new credit card,मैं नए क्रेडिट कार्ड के लिए आवेदन कैसे करूँ?,How do I apply for a new credit card?,new_card
901,show me how to apply for a visa card,मुझे दिखाओ कि वीज़ा कार्ड के लिए आवेदन कैसे करें,Show me how to apply for a Visa card,new_card
902,what if you need to obtain a new credit card,यदि आपको नया क्रेडिट कार्ड प्राप्त करने की आवश्यकता हो तो क्या होगा,What if you need to get a new credit card,new_card
903,could you please let me apply for a new credit card,क्या आप कृपया मुझे नए क्रेडिट कार्ड के लिए आवेदन करने की अनुमति दे सकते हैं?,Could you please allow me to apply for a new credit card?,new_card
904,tell me how to apply for an american express card,मुझे बताएं कि अमेरिकन एक्सप्रेस कार्ड के लिए आवेदन कैसे करें,Tell me how to apply for American Express card,new_card
905,what if you want to obtain a new credit card,यदि आप नया क्रेडिट कार्ड प्राप्त करना चाहते हैं तो क्या होगा,What if you want to get a new credit card,new_card
906,hey what do i do to apply for a visa card,"अरे, मैं वीज़ा कार्ड के लिए आवेदन करने हेतु क्या करूँ?","Hey, what do I do to apply for VISA card?",new_card
907,i am hoping to apply for an amex card,मैं एमेक्स कार्ड के लिए आवेदन करना चाहता हूँ,I want to apply for an Amex card,new_card
908,can you apply for idaho independent card for me,क्या आप मेरे लिए इदाहो स्वतंत्र कार्ड के लिए आवेदन कर सकते हैं?,Can you apply for an Idaho Independent Card for me?,new_card
909,i would like to apply for a credit card,मैं क्रेडिट कार्ड के लिए आवेदन करना चाहता हूँ,I want to apply for a credit card,new_card
910,can you help me apply for a visa card,क्या आप मुझे वीज़ा कार्ड के लिए आवेदन करने में मदद कर सकते हैं,Can you help me apply for a visa card,new_card
911,i would like to apply for a discover card,मैं डिस्कवर कार्ड के लिए आवेदन करना चाहता हूँ,I want to apply for a Discover card,new_card
912,how to apply for platinum card,प्लैटिनम कार्ड के लिए आवेदन कैसे करें,how to apply for platinum card,new_card
913,i would like to apply for a bank of america travel rewards credit card,मैं बैंक ऑफ अमेरिका ट्रैवल रिवॉर्ड्स क्रेडिट कार्ड के लिए आवेदन करना चाहता हूं,I want to apply for the Bank of America Travel Rewards Credit Card,new_card
914,how can i apply for a discover card,मैं डिस्कवर कार्ड के लिए आवेदन कैसे कर सकता हूँ?,How do I apply for a Discover card?,new_card
915,walk me through the process of applying for an american express card,मुझे अमेरिकन एक्सप्रेस कार्ड के लिए आवेदन करने की प्रक्रिया बताएं,Please tell me the procedure to apply for American Express card,new_card
916,show me the application for a visa card,मुझे वीज़ा कार्ड के लिए आवेदन दिखाओ,Show me the visa card application form,new_card
917,what do i need to do to get an american express card,अमेरिकन एक्सप्रेस कार्ड पाने के लिए मुझे क्या करना होगा?,What do I need to do to get an American Express card?,new_card
918,can i get a brand new card please,क्या मुझे एक नया कार्ड मिल सकता है कृपया,can I get a new card please,new_card
919,how can i apply for a visa card,मैं वीज़ा कार्ड के लिए आवेदन कैसे कर सकता हूँ?,How do I apply for a Visa card?,new_card
920,show me how i can get a new credit card,मुझे बताएं कि मैं नया क्रेडिट कार्ड कैसे प्राप्त कर सकता हूं,Please let me know how I can get a new credit card,new_card
921,i would like to apply for a green card,मैं ग्रीन कार्ड के लिए आवेदन करना चाहता हूँ,I want to apply for a green card,new_card
922,how do i apply for a barclay's card,मैं बार्कले कार्ड के लिए आवेदन कैसे करूँ?,How do I apply for a Barclay card?,new_card
923,how do applications for discover cards work,डिस्कवर कार्ड के लिए एप्लीकेशन कैसे काम करते हैं,How Discover Card Applications Work,new_card
924,may i apply for a new credit card,क्या मैं नए क्रेडिट कार्ड के लिए आवेदन कर सकता हूँ?,Can I apply for a new credit card?,new_card
925,what's the procedure to apply for a new credit card,नए क्रेडिट कार्ड के लिए आवेदन करने की प्रक्रिया क्या है?,What is the process to apply for a new credit card?,new_card
926,might i be able to apply for a new credit card,क्या मैं नए क्रेडिट कार्ड के लिए आवेदन कर सकता हूँ?,Can I apply for a new credit card?,new_card
927,"i would like to apply for a air canada card visa, can you help me","मैं एयर कनाडा कार्ड वीज़ा के लिए आवेदन करना चाहता हूं, क्या आप मेरी मदद कर सकते हैं?","I want to apply for Air Canada Card Visa, can you help me?",new_card
928,can i get a new card,क्या मुझे नया कार्ड मिल सकता है,can I get a new card,new_card
929,can you help me get a new credit card,क्या आप मुझे नया क्रेडिट कार्ड दिलाने में मदद कर सकते हैं,Can you help me get a new credit card?,new_card
930,can i apply for a discover card,क्या मैं डिस्कवर कार्ड के लिए आवेदन कर सकता हूँ,Can I apply for a Discover card?,new_card
931,can i complete an application for a new credit card,क्या मैं नए क्रेडिट कार्ड के लिए आवेदन पूरा कर सकता हूँ?,Can I complete an application for a new credit card?,new_card
932,how do i get a new credit card sent to me,मैं नया क्रेडिट कार्ड कैसे प्राप्त कर सकता हूँ?,How do I get a new credit card?,new_card
933,is it possible to apply for a new credit card,क्या नए क्रेडिट कार्ड के लिए आवेदन करना संभव है,Is it possible to apply for a new credit card,new_card
934,tell me the process of applying for a apollo card,मुझे अपोलो कार्ड के लिए आवेदन करने की प्रक्रिया बताएं,tell me the procedure to apply for apollo card,new_card
935,can you tell me how to apply for a western card,क्या आप मुझे बता सकते हैं कि वेस्टर्न कार्ड के लिए आवेदन कैसे करें?,Can you tell me how to apply for a Western card?,new_card
936,apply for a kbc card for me,मेरे लिए केबीसी कार्ड के लिए आवेदन करें,apply for kbc card for me,new_card
937,can you tell me if i might be able to apply for a new credit card,क्या आप मुझे बता सकते हैं कि क्या मैं नए क्रेडिट कार्ड के लिए आवेदन कर सकता हूँ?,Can you tell me if I can apply for a new credit card?,new_card
938,i need help figuring out a new credit card to get,मुझे नया क्रेडिट कार्ड पाने में मदद चाहिए,I need help getting a new credit card,new_card
939,walk me through applying for a visa card,मुझे वीज़ा कार्ड के लिए आवेदन करने में मदद करें,help me apply for visa card,new_card
940,is this how i apply for a discover card,क्या मैं डिस्कवर कार्ड के लिए इस तरह आवेदन कर सकता हूँ?,Can I apply for a Discover card this way?,new_card
941,i intend to apply for an american express card,मैं अमेरिकन एक्सप्रेस कार्ड के लिए आवेदन करना चाहता हूँ,I want to apply for an American Express card,new_card
942,"how can i apply for a mastercard, please","मैं मास्टरकार्ड के लिए आवेदन कैसे कर सकता हूं, कृपया बताएं?","How can I apply for MasterCard, please tell?",new_card
943,what if you want a new credit card,यदि आप नया क्रेडिट कार्ड चाहते हैं तो क्या होगा?,What if you want a new credit card?,new_card
944,help me apply for an american express card,अमेरिकन एक्सप्रेस कार्ड के लिए आवेदन करने में मेरी मदद करें,Help me apply for an American Express card,new_card
945,i am interested in applying for a visa card,मैं वीज़ा कार्ड के लिए आवेदन करने में रूचि रखता हूँ,I am interested in applying for a VISA card,new_card
946,i think i'd like to apply for an amex,मुझे लगता है कि मैं एक एमेक्स के लिए आवेदन करना चाहूंगा,I think I'd like to apply for an Amex,new_card
947,i gotta apply for a new credit card,मुझे नए क्रेडिट कार्ड के लिए आवेदन करना होगा,I need to apply for a new credit card,new_card
948,i desire to apply for a bank of america travel rewards credit card,मैं बैंक ऑफ अमेरिका ट्रैवल रिवार्ड्स क्रेडिट कार्ड के लिए आवेदन करना चाहता हूं,I want to apply for the Bank of America Travel Rewards Credit Card,new_card
949,i need to apply for a visa card,मुझे वीज़ा कार्ड के लिए आवेदन करना है,I want to apply for a visa card,new_card
950,i need to include a stop at the pharmacy to the list of things to do,मुझे अपनी करने योग्य चीजों की सूची में फार्मेसी पर रुकना भी शामिल करना है,I have to add a stop at the pharmacy to my list of things to do,todo_list_update
951,mark down cleaning the bathroom on my list of things to do,बाथरूम की सफाई को मेरी कामों की सूची में शामिल कर लो,Add cleaning the bathroom to my to do list,todo_list_update
952,i need to do dishes put it on my to do list,"मुझे बर्तन धोने हैं, इसे अपनी टू डू सूची में डालो","I need to wash the dishes, put it on your to do list",todo_list_update
953,take watering the plants off of my to do list,पौधों को पानी देने का काम मेरी कार्य सूची से हटा दें,Take watering the plants off my to-do list,todo_list_update
954,add clean the bathroom to my task list,बाथरूम साफ करना मेरी कार्य सूची में जोड़ें,Add cleaning the bathroom to my to do list,todo_list_update
955,delete everything from the task list,कार्य सूची से सब कुछ हटाएँ,Delete everything from the task list,todo_list_update
956,make my todo list blank,मेरी टूडू सूची को रिक्त करें,Clear my todo list,todo_list_update
957,help remind me that i need to add laundry to my list of housework,मुझे याद दिलाने में मदद करें कि मुझे अपने घरेलू काम की सूची में कपड़े धोने का काम भी जोड़ना है,Help remind me to add laundry to my chore list,todo_list_update
958,add mop bathroom to my to do list,बाथरूम में पोछा लगाना मेरी टू डू सूची में जोड़ें,Add mopping the bathroom to my to do list,todo_list_update
959,can you place laundry on my to do list,क्या आप कपड़े धोने को मेरी कार्य सूची में शामिल कर सकते हैं?,Can you add laundry to my to-do list?,todo_list_update
960,put wash the counters down on my list of pending tasks,काउंटर साफ करने के काम को मेरे लंबित कार्यों की सूची में डाल दिया,put cleaning the counter on my to-do list,todo_list_update
961,i want you to add cleaning the toilet to my to do list,मैं चाहता हूँ कि आप शौचालय की सफाई को मेरी कार्य सूची में शामिल करें,I want you to add cleaning the toilet to my to do list,todo_list_update
962,please also list wash laundry on my to do list,कृपया मेरी कार्य सूची में धुलाई-लॉन्ड्री को भी शामिल करें,Please add laundry to my to-do list,todo_list_update
963,put cleaning on my to do list,सफाई को अपनी कार्य सूची में शामिल करें,Add cleaning to your to-do list,todo_list_update
964,please put washing the dishes on my list of tasks to accomplish,कृपया बर्तन धोने को मेरे कामों की सूची में शामिल करें,Please add washing dishes to my to do list,todo_list_update
965,throw mopping onto my to do list,पोछा लगाना मेरी कार्य सूची में शामिल कर दो,add mopping to my to do list,todo_list_update
966,add do laundry to my to do list,कपड़े धोना मेरी कार्य सूची में जोड़ें,Add laundry to my to do list,todo_list_update
967,would you kindly remove five mile run from my list of things to do,क्या आप कृपया मेरी करने योग्य चीजों की सूची से पांच मील की दौड़ को हटा देंगे?,Would you please remove the five-mile run from my list of things to do?,todo_list_update
968,take doing the dishes off my todo list,बर्तन धोने का काम मेरी टू-डू सूची से हटा दो,Take the dishes off my to-do list,todo_list_update
969,"can you add a trip to the post office to my to do list, please",क्या आप कृपया मेरी कार्य सूची में डाकघर की यात्रा को भी जोड़ सकते हैं?,Can you please add a visit to the post office to my to do list as well?,todo_list_update
970,can you kindly clear my agenda list,क्या आप कृपया मेरी एजेंडा सूची साफ़ कर सकते हैं,can you please clear my agenda,todo_list_update
971,please get rid off everything on my to do list,कृपया मेरी टू डू सूची से सभी काम हटा दें,Please remove all tasks from my to do list,todo_list_update
972,will you add mopping to my to do list please,क्या आप कृपया मेरी कार्य सूची में पोछा लगाना भी शामिल कर देंगे?,Would you please add mopping to my to-do list?,todo_list_update
973,"on my to do list, add exercising",मेरी टू डू सूची में व्यायाम को शामिल करें,Add exercise to my to-do list,todo_list_update
974,erase all items on my todo list,मेरी टूडू सूची से सभी आइटम मिटाएँ,Delete all items from my todo list,todo_list_update
975,"on my to do list, add dishes","मेरी टू डू सूची में, व्यंजन जोड़ें",Add recipes to my to do list,todo_list_update
976,will you make sure that mopping is on my to do list,क्या आप यह सुनिश्चित करेंगे कि पोछा लगाना मेरी कार्य सूची में शामिल हो,Would you please make sure that mopping is on my to-do list,todo_list_update
977,please remind me to add laundry to my list of chores,कृपया मुझे याद दिलाइए कि मैं अपने कामों की सूची में कपड़े धोने का काम भी शामिल कर लूं,Please remind me to add laundry to my to-do list,todo_list_update
978,add washing dishes to my to do list,बर्तन धोना मेरी कार्य सूची में जोड़ें,Add washing dishes to my to do list,todo_list_update
979,will you please put remember to drop off at the dry cleaner's to my current to do list,क्या आप कृपया मेरी वर्तमान कार्य सूची में ड्राई क्लीनर के पास छोड़ना याद रखना जोड़ देंगे?,Would you please add remembering to drop off at the dry cleaner's to my current to do list?,todo_list_update
980,add cleaning to my to do list,सफाई को मेरी कार्य सूची में जोड़ें,Add cleaning to my to do list,todo_list_update
981,nix folding laundry from my todo list,मेरी टू-डू सूची से कपड़ों को तह करके रखना हटा दिया गया है,Folding clothes has been taken off my to-do list,todo_list_update
982,to my domestic task list please add paint kitchen,कृपया मेरी घरेलू कार्य सूची में रसोईघर की पेंटिंग भी जोड़ दें,Please add painting the kitchen to my chore list,todo_list_update
983,add to my task list get carpet cleaned,मेरी कार्य सूची में जोड़ें कालीन साफ़ करवाएँ,Add to my to do list Have carpet cleaned,todo_list_update
984,can you please add take out recycling on my list of chores to complete,क्या आप कृपया मेरे कामों की सूची में रीसाइकिलिंग को भी शामिल कर सकते हैं?,Can you please add recycling to my to do list?,todo_list_update
985,add laundry to my list of shit to do,कपड़े धोने को भी मेरी काम की सूची में शामिल करें,Add laundry to my to do list,todo_list_update
986,add clean bathroom to my to do list,मेरी टू डू सूची में साफ बाथरूम जोड़ें,Add clean bathroom to my to do list,todo_list_update
987,remove all items from todo list,टूडू सूची से सभी आइटम हटाएँ,Delete all items from the todo list,todo_list_update
988,blank out my todo list,मेरी टूडू सूची को खाली कर दें,Clear my todo list,todo_list_update
989,put buy dog food on my to do list,कुत्ते का खाना खरीदना मेरी टू डू सूची में डाल दिया,Put buying dog food on my to do list,todo_list_update
990,please include laundry on my to do list,कृपया कपड़े धोने को मेरी कार्य सूची में शामिल करें,Please add laundry to my to do list,todo_list_update
991,"erase get a haircut from my to do list, please",कृपया मेरे कार्य सूची से बाल कटवाने का काम हटा दें,Please take my haircut off my to do list,todo_list_update
992,will you put change the light bulbs on my list of things to do,क्या आप मेरे कामों की सूची में प्रकाश बल्ब बदलना भी शामिल करेंगे?,Would you add changing a light bulb to my to-do list?,todo_list_update
993,delete everything on my to do list,मेरी टू डू सूची से सब कुछ हटा दें,Remove everything from my to do list,todo_list_update
994,you can remove vacuuming off the todo list,आप वैक्यूमिंग को टू-डू सूची से हटा सकते हैं,You can take vacuuming off the to-do list,todo_list_update
995,please erase everything on my to do list,कृपया मेरी टू डू सूची से सब कुछ मिटा दें,Please delete everything from my to do list,todo_list_update
996,cross volunteering off my todo list,स्वयंसेवा को अपनी कार्य सूची से हटा दें,Take volunteering off your to-do list,todo_list_update
997,"on my list of things to do, add cleaning","मेरे कामों की सूची में, सफ़ाई को भी शामिल करें",Add cleaning to my to-do list,todo_list_update
998,"on my to do list, i need cleaning added","मेरी टू डू सूची में, मुझे सफाई को भी शामिल करने की आवश्यकता है",I need to add cleaning to my to do list.,todo_list_update
999,"on my to do list, add cleaning","मेरी टू डू सूची में, सफाई को भी जोड़ो",Add cleaning to my to do list,todo_list_update
1000,"if i'm heading to the mall at 5:00, what will the traffic be like","अगर मैं 5:00 बजे मॉल जा रहा हूँ, तो ट्रैफ़िक कैसा होगा?","If I'm going to the mall at 5:00, what will the traffic be like?",traffic
1001,give me an idea of traffic on the way to the doctors office at 6,मुझे शाम 6 बजे डॉक्टर के दफ़्तर जाने वाले रास्ते पर ट्रैफ़िक का अंदाज़ा दीजिए,Give me an estimate of the traffic on the way to the doctor's office at 6 p.m.,traffic
1002,is the traffic bad on the way to work,क्या काम पर जाते समय यातायात ख़राब है,is the traffic bad on your way to work,traffic
1003,give me the traffic at lexington,मुझे लेक्सिंगटन में यातायात दे दो,Give me the traffic in Lexington,traffic
1004,what does traffic look like at 9 en route to the aquarium,9 बजे एक्वेरियम के रास्ते पर ट्रैफ़िक कैसा दिखता है,Here's what traffic looks like on the way to the aquarium at 9 a.m.,traffic
1005,has the ice made traffic messy on the way to walmart,क्या बर्फ ने वॉलमार्ट के रास्ते पर यातायात को अव्यवस्थित कर दिया है?,Has the snow snarled traffic on the way to Walmart?,traffic
1006,what is the traffic like on the way to town,शहर के रास्ते पर यातायात कैसा है,How is the traffic on the city roads,traffic
1007,is traffic bad on my way to the next mcdonalds,क्या अगले मैकडॉनल्ड्स के रास्ते में यातायात खराब है?,Is the traffic bad on the way to the next McDonald's?,traffic
1008,what is the traffic nearest lexington,लेक्सिंगटन के नज़दीक यातायात क्या है,What's the traffic like near Lexington,traffic
1009,i need to know what traffic will be like in temp,मुझे यह जानना है कि यातायात का तापमान कैसा होगा,I want to know what the temperature of the traffic will be like,traffic
1010,at around noon what is the traffic typically like on the route to the hopsital,दोपहर के समय अस्पताल जाने वाले मार्ग पर यातायात सामान्यतः कैसा होता है?,What is the traffic like on the road to the hospital usually during the afternoon?,traffic
1011,i must know what the traffic typically like at 3:30 on the route to phoenix,मुझे यह जानना होगा कि फीनिक्स के रास्ते पर 3:30 बजे यातायात आमतौर पर कैसा होता है,I need to know what traffic is usually like at 3:30 pm on the way to Phoenix,traffic
1012,what's the traffic like on the way to walmart,वॉलमार्ट के रास्ते पर ट्रैफ़िक कैसा है?,How's the traffic on the way to Walmart?,traffic
1013,i'm going to the mall at 5:00 what will traffic be like,"मैं 5:00 बजे मॉल जा रहा हूँ, ट्रैफ़िक कैसा होगा?","I'm going to the mall at 5:00, how will the traffic be?",traffic
1014,are there alot of cars on the road before the stadium,क्या स्टेडियम से पहले सड़क पर बहुत सारी कारें हैं,are there a lot of cars on the road before the stadium,traffic
1015,how's traffic en route to virginia,वर्जीनिया के रास्ते पर यातायात कैसा है?,How's the traffic on the way to Virginia?,traffic
1016,what is the traffic like on the way to north shore,उत्तरी तट के रास्ते पर यातायात कैसा है,What is traffic like on the North Shore Trail?,traffic
1017,i need to know what the traffic is like on the way to phoenix,मुझे यह जानना है कि फीनिक्स के रास्ते पर यातायात कैसा है,I want to know what the traffic is like on the way to Phoenix,traffic
1018,"will i be able to get to the mall at 5:00, or will there be a lot of traffic",क्या मैं 5:00 बजे मॉल पहुंच पाऊंगा या वहां बहुत ज्यादा ट्रैफिक होगा,Will I be able to reach the mall at 5:00 or will there be too much traffic,traffic
1019,tell me what the traffic is like on the way to phoenix,मुझे बताओ फीनिक्स के रास्ते पर यातायात कैसा है,Tell me how's the traffic on the way to Phoenix,traffic
1020,is there traffic to work,क्या काम पर जाने के लिए ट्रैफ़िक है,is there traffic to work,traffic
1021,what is the traffic like,यातायात कैसा है,how's the traffic,traffic
1022,what's the traffic like on my way to the terminal,टर्मिनल तक जाते समय ट्रैफ़िक कैसा है?,How is the traffic going to the terminal?,traffic
1023,is traffic bad on the parkway,क्या पार्कवे पर यातायात ख़राब है,is the traffic bad on the parkway,traffic
1024,let me know the traffic in tempe,मुझे टेम्पे में यातायात के बारे में बताओ,Tell me about the traffic in Tempe,traffic
1025,what is the traffic like on the way to work,काम पर जाते समय यातायात कैसा है,How is the traffic on the way to work,traffic
1026,is the traffic typically bad at noon on the route to the hopsital,क्या अस्पताल जाने वाले मार्ग पर दोपहर के समय यातायात आमतौर पर खराब होता है?,Is the traffic on the route to the hospital usually bad during the afternoon?,traffic
1027,how is the traffic on the way to work,काम पर जाने के रास्ते पर यातायात कैसा है?,How is the traffic on the way to work?,traffic
1028,what is the traffic like on the way to makaha,मकाहा के रास्ते पर ट्रैफ़िक कैसा है?,How is the traffic on the way to Makaha?,traffic
1029,how is the traffic like on my way to fairfield,फेयरफील्ड के रास्ते में यातायात कैसा है?,How's the traffic on the way to Fairfield?,traffic
1030,what's the traffic like to city hall,सिटी हॉल तक यातायात कैसा है?,How's the traffic to City Hall?,traffic
1031,how bad is traffic at 8 on the way to burger king,बर्गर किंग के रास्ते पर रात 8 बजे ट्रैफिक कितना खराब होता है?,How bad is the traffic on the way to Burger King at 8pm?,traffic
1032,is there any traffic congestion on my way to the closest whole foods,क्या निकटतम होल फूड्स तक जाने के रास्ते में कोई यातायात भीड़भाड़ है?,Is there traffic congestion on the way to the nearest Whole Foods?,traffic
1033,what is the traffic situation at the olive garden restaurant,ऑलिव गार्डन रेस्तरां में ट्रैफ़िक की स्थिति क्या है,What is the traffic situation at Olive Garden restaurant,traffic
1034,how is the traffic at the nearest wal-mart pharmacy,निकटतम वॉल-मार्ट फार्मेसी पर ट्रैफ़िक कैसा है,What's traffic like at the nearest Walmart pharmacy?,traffic
1035,is the expressway slow this morning,क्या आज सुबह एक्सप्रेसवे धीमा है?,Is the expressway slow this morning?,traffic
1036,what is the traffic like at the closest safeway grocery store,निकटतम सेफवे किराना स्टोर पर ट्रैफ़िक कैसा है,What traffic is like at the nearest Safeway grocery store,traffic
1037,how is the traffic near lexington,लेक्सिंगटन के पास यातायात कैसा है?,How is the traffic near Lexington?,traffic
1038,is there traffic on my way to work today,क्या आज मेरे काम पर जाने के रास्ते में ट्रैफ़िक है?,Is there traffic on my way to work today?,traffic
1039,is there traffic up ahead,क्या आगे ट्रैफ़िक है,is there traffic ahead,traffic
1040,tell me how traffic is looking on the interstate,मुझे बताओ कि अंतरराज्यीय राजमार्ग पर यातायात कैसा दिख रहा है,Tell me what the traffic looks like on the interstate highway,traffic
1041,is there traffic on bramble lane,क्या ब्रैम्बल लेन पर यातायात है,is there traffic on Bramble Lane,traffic
1042,how is the traffic typically at noon on the route to hospital,अस्पताल जाने वाले मार्ग पर दोपहर के समय यातायात सामान्यतः कैसा रहता है?,What is the usual afternoon traffic like on the road to the hospital?,traffic
1043,what is the traffic like on the way to kaneohe,कानेओहे के रास्ते पर यातायात कैसा है?,What's the traffic like on the way to Kaneohe?,traffic
1044,how clogged are the streets before the stadium,स्टेडियम के सामने की सड़कें कितनी जाम हैं,The roads in front of the stadium are so jam packed,traffic
1045,is there traffic on my way to work,क्या मेरे काम पर जाने के रास्ते में ट्रैफ़िक है?,Is there traffic on my way to work?,traffic
1046,traffic looking alright going towards burger king,बर्गर किंग की ओर जाने वाला यातायात ठीक लग रहा है,Traffic heading to Burger King looks fine,traffic
1047,i gotta know what the traffic is like on the way to phoenix,मुझे जानना है कि फीनिक्स के रास्ते पर यातायात कैसा है,I want to know what the traffic is like on the way to Phoenix,traffic
1048,how's highway traffic today,आज राजमार्ग यातायात कैसा है?,How is highway traffic today?,traffic
1049,what's the traffic like on the way to the water slides,वॉटर स्लाइड्स के रास्ते पर ट्रैफ़िक कैसा है,What is the traffic like on the way to the water slides?,traffic
1050,please go to the song after this one,कृपया इसके बाद वाले गाने पर जाएँ,Please go to the next song,next_song
1051,go to the next tune,अगली धुन पर जाएँ,Skip to the next tune,next_song
1052,go to my next song,मेरे अगले गाने पर जाएँ,go to my next song,next_song
1053,hop to the next one,अगले पर जाएँ,go to next,next_song
1054,jump to the next song on this playlist,इस प्लेलिस्ट के अगले गाने पर जाएँ,Go to the next song in this playlist,next_song
